Adresse,Valeur
1,12334
2,11826
3,12336
4,0
5,13398
6,0
7,13360
8,12334
9,11827
10,12336
11,0
12,25939
13,8304
14,12850
15,12832
16,12848
17,53
18,0
19,12337
20,13370
21,14896
22,13104
23,0
24,20545
25,8272
26,17735
27,17742
28,18771
29,83
30,0
31,15334
32,12592
39,264
40,39589
41,0
42,0
43,0
44,0
161,12334
162,11824
163,12336
164,0
165,20290
166,21583
167,22048
168,11571
169,13398
170,0
171,24906
172,8302
173,14386
174,12832
175,12848
176,48
177,0
178,0
179,13617
180,12346
181,14905
182,13104
183,0
184,20290
185,21583
186,18208
187,20037
188,21317
189,21321
190,0
191,65535
256,0
257,0
258,0
259,4980
260,163
261,25
262,74
263,0
264,450
265,26
273,0
274,0
275,1291
276,2984
277,1347
278,1242
279,0
280,316
281,1031
289,0
513,17487
514,8238
515,8224
516,8224
517,8224
518,12576
519,9520
520,18544
521,8224
522,8224
523,8224
524,8224
525,8224
526,13600
527,12334
769,1
770,10
771,0
772,2308
773,0
774,1
775,1000
776,1616
777,0
778,64836
779,65535
780,58922
781,4
782,256
783,60
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
1025,0
1026,1
1027,1000
1028,1529
1029,0
1030,65080
1031,65535
1032,42014
1033,4
1034,256
1057,354
1058,1407
1059,2863
1060,0
1061,2863
1062,1600
1063,4
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,3
1201,9
1202,0
1203,0
1204,0
1205,4975
1206,163
1207,25
1208,0
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,65535
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,65535
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,769
1245,56580
1246,256
1247,49332
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,6
1281,257
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2305,0
2306,0
2307,0
2308,0
2337,0
2338,0
2339,0
2340,65535
2341,0
2342,0
2343,0
2369,0
2370,0
2371,0
2372,65535
2373,0
2374,0
2375,0
2376,0
3845,3
3846,54065
3847,2
3857,260
4097,200
4098,64
4099,64
4100,64
4101,64
4102,512
4103,22
4104,3
4105,150
4106,17000
4107,85
4108,10000
4109,0
4110,50
4111,40
4112,0
4113,63707
4114,3
4115,256
4116,257
4117,0
4118,0
4119,601
4120,512
4121,1001
4122,256
4123,0
4124,44004
4125,3
4126,10101
4127,0
4128,10101
4129,0
4130,10101
4131,0
4132,10101
4133,0
4134,0
4135,65535
4136,28279
4137,369
4138,12592
4139,13362
4140,12333
4141,14644
4142,12345
4143,11570
4144,13872
4145,53
4146,19525
4147,18512
4148,12338
4149,16727
4150,16724
4151,18221
4152,20020
4153,12621
4154,48
4155,0
4156,17735
4157,24398
4158,12592
4159,13362
4160,12333
4161,14644
4162,12345
4163,11570
4164,13872
4165,53
4166,0
4167,25600
4168,10
4169,100
4170,848
4171,1
4172,256
4173,1281
4174,6400
4175,150
4176,1280
4177,3329
4178,25601
4179,38400
4180,0
4181,1
4182,0
4183,63706
4184,3
4185,10101
4186,0
4187,24
4188,0
4189,21
4190,1536
4191,0
4192,1
4193,0
4194,0
4195,0
4196,0
4197,450
4198,0
4199,0
4200,1
4201,53719
4202,3
4203,997
4204,454
4205,27719
4206,261
4207,18432
4208,30
4209,18
4210,10
4211,900
4212,300
4213,2294
4214,257
4215,0
4216,0
4217,0
4218,0
4219,0
4220,0
4221,0
4222,0
4223,0
4224,0
4225,0
4226,0
4227,0
4228,0
4229,0
4230,0
4231,0
4232,0
4233,256
4234,10
4235,670
4236,2561
4237,40
4238,10101
4239,0
4240,0
4241,10101
4242,0
4243,12383
4244,30
4245,1440
4246,0
4247,0
4248,10101
4249,0
4250,25690
4251,0
4252,0
4253,0
4254,0
4255,0
4256,0
4257,0
4258,0
4259,0
4260,0
4261,0
4262,0
4263,0
4264,257
4265,769
4266,1
4267,0
4268,0
4269,0
4270,0
4271,0
4272,0
4273,0
4274,0
4275,0
4276,0
4277,0
4278,0
4279,0
4280,0
4281,0
4282,0
4283,0
4284,0
4285,0
4286,0
4287,0
4288,0
4289,0
4290,0
4291,0
4292,0
4293,0
4294,0
4295,0
4296,65535
4297,65535
4298,65535
4299,65535
4300,65535
4301,65535
4302,65535
4303,65535
4304,65535
4305,65535
4306,65535
4307,0
4308,0
4309,0
4310,0
4311,0
4312,0
4313,0
4314,0
4315,0
4316,0
4317,0
4318,0
4319,0
4320,0
4321,0
4322,0
4323,0
4324,0
4325,0
4326,0
4327,571
4328,16
4329,149
4330,149
4331,587
4332,284
4333,179
4334,179
4335,179
4336,866
4337,840
4338,419
4339,419
4340,419
4341,419
4342,173
4343,299
4344,299
4345,299
4346,299
4347,239
4348,239
4349,239
4350,239
4351,219
4352,368
4353,419
4354,419
4355,302
4356,324
4357,419
4358,44
4359,0
4360,0
4361,0
4362,444
4363,152
4364,145
4365,156
4366,42
4367,662
4368,364
4369,306
4370,314
4371,379
4372,418
4373,166
4374,288
4375,179
4376,74
4377,0
4378,0
4379,0
4380,0
4381,0
4382,0
4383,0
4384,414
4385,414
4386,301
4387,322
4388,417
4389,165
4390,117
4391,145
4392,155
4393,167
4394,159
4395,162
4396,160
4397,153
4398,173
4399,170
4400,160
4400,160
4401,161
4402,164
4403,178
4404,154
4405,156
4406,146
4407,142
4408,134
4409,117
4410,107
4411,112
4412,117
4413,108
4414,112
4415,195
4416,195
4417,190
4418,194
4419,202
4420,0
4421,0
4422,0
4423,0
4424,0
4425,0
4426,0
4427,0
4428,0
4429,0
4430,1
4431,0
4432,1
4433,0
4434,0
4435,5
4436,0
4437,0
4438,0
4439,0
4440,0
4441,0
4442,0
4443,0
4444,0
4445,0
4446,0
4447,0
4448,0
4449,0
4450,1
4451,9361
4452,243
4453,134
4454,157
4455,0
4456,21844
4457,567
4458,0
4459,157
4460,0
4461,325
4462,16
4463,3484
4464,163
4465,164
4466,143
4467,140
4468,138
4469,138
4470,159
4471,154
4472,151
4473,144
4474,0
4475,16
4476,44365
4477,0
4478,0
4479,0
4480,0
4481,0
4482,0
4483,0
4484,0
4485,0
4486,0
4487,0
4488,0
4489,0
4490,0
4491,0
4492,44180
4493,0
4494,0
4495,0
4496,0
4497,0
4498,0
4499,0
4500,0
4501,0
4502,0
4503,0
4504,0
4505,0
4506,0
4507,0
4508,33272
4509,6516
4510,60
4511,30
4512,0
4513,0
4514,0
4515,23009
4516,3
4517,0
4518,0
4519,0
4520,0
4521,0
4522,0
4523,0
4524,0
4525,0
4526,0
4527,0
4528,0
4529,0
4530,0
4531,0
4532,0
4533,0
4534,0
4535,0
4536,0
4537,0
4538,0
4539,0
4540,0
4541,0
4542,0
4543,0
4544,0
4545,0
4546,0
4547,0
4548,0
4549,0
4550,0
4551,0
4552,0
4553,0
4554,0
4555,0
4556,0
4557,0
4558,0
4559,0
4560,0
4561,0
4562,0
4563,0
4564,0
4565,0
4566,0
4567,0
4568,1
4569,25700
4570,0
4571,895
4572,0
4573,0
4574,0
4575,1
4576,0
4577,0
4578,0
4579,800
4580,1200
4581,1200
4582,1600
4583,0
4584,0
4585,0
4586,257
4587,1
4588,0
4589,0
4590,0
4591,0
4592,0
4593,2560
4594,10
4595,0
4596,0
4597,0
4598,0
4599,0
4600,0
4601,2560
4602,10
4603,1024
4604,0
4605,0
4606,0
4607,0
